misc/nupdates,misc/total_timesteps,fps,eprewmean,loss/policy_entropy,loss/policy_loss,loss/value_loss
5420,4553640,1143,-26.976476360000007,1.8797987937927245,4.6397000551223756e-05,2.126130700111389
5440,4570440,1143,-25.09671918,1.874915564060211,-0.0010251708328723908,1.682370227575302
5460,4587240,1143,-25.366053979999997,1.8852200746536254,-0.0024396109394729136,1.2125309944152831
5480,4604040,1143,-28.407824530000003,1.9252041697502136,-0.001036402303725481,1.597090870141983
5500,4620840,1144,-28.582599330000004,1.932564878463745,-0.0003839090699329972,0.9188148587942123
5520,4637640,1144,-26.87586589,1.8973705887794494,-0.0025926299626007677,0.8244740605354309
5540,4654440,1144,-27.028574579999994,1.9262186408042907,-0.002116625267080963,0.5014391630887985
5560,4671240,1144,-26.151177240000003,1.8804880619049071,-0.0015598561614751816,2.1167418003082275
5580,4688040,1144,-25.69488891,1.8811564445495605,-0.0016346867196261883,1.1482396006584168
5600,4704840,1144,-24.799090919999998,1.9033017992973327,-0.00014284029603004456,0.6321851074695587
5620,4721640,1144,-24.391795610000003,1.9158594727516174,-0.0006704911706037819,1.9265120387077332
5640,4738440,1144,-26.290554550000003,1.9053055047988892,-0.0022831982001662253,0.8836100161075592
5660,4755240,1144,-26.99714595,1.8624520421028137,-0.0032848253846168517,1.4799496173858642
5680,4772040,1144,-26.80251477,1.9636804103851317,-0.0033425466855987905,0.7638254314661026
5700,4788840,1144,-26.46775927,1.8630951762199401,-0.001426299661397934,2.5738943338394167
5720,4805640,1144,-25.126915579999995,1.7905640363693238,-0.0023392499424517155,1.2633053004741668
5740,4822440,1144,-23.956320740000002,1.8953198671340943,0.00014994628727436066,0.7858208626508713
5760,4839240,1144,-25.525355229999995,1.9040441513061523,0.0006007378920912743,1.238610902428627
5780,4856040,1144,-26.182921959999998,1.9104290723800659,-0.0008926283568143845,0.5869637981057167
5800,4872840,1144,-25.037999170000003,1.9184132814407349,-0.00038102045655250547,1.903872275352478
5820,4889640,1144,-25.25692832,1.9249794721603393,-0.00358171071857214,0.4150600001215935
